Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score
SuperMarioWorld,SNES,1990,Platform,Nintendo,0.387272727,0.113636364,0.107272727,0.016666667,0.624545455,100,
TheLegendofZelda:OcarinaofTime,N64,1998,Action,Nintendo,0.164,0.0756,0.058,0.0064,0.304,99,
TonyHawk'sProSkater2,PS,2000,Sports,Activision,0.132608696,0.061304348,0.000869565,0.008695652,0.203478261,98,7.7
GrandTheftAutoIV,PS3,2008,Action,Take-Two Interactive,0.317333333,0.246,0.029333333,0.107333333,0.7,98,7.5
GrandTheftAutoIV,X360,2008,Action,Take-Two Interactive,0.450666667,0.204666667,0.009333333,0.068666667,0.734,98,7.9
WorldSoccerJikkyouWinningEleven3:WorldCupFrance'98,PS,1998,Sports,Konami Digital Entertainment,0,0,0.03,0.002,0.0324,98,
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,0.014166667,0,0.014166667,98,8.8
GrandTheftAutoV,PS3,2013,Action,Take-Two Interactive,0.702,0.909,0.098,0.396,2.104,97,8.2
GrandTheftAutoV,PS4,2014,Action,Take-Two Interactive,0.44,0.701111111,0.042222222,0.218888889,1.401111111,97,8.3
GrandTheftAutoV,X360,2013,Action,Take-Two Interactive,0.966,0.514,0.006,0.141,1.627,97,8.1
TonyHawk'sProSkater3,PS2,2001,Sports,Activision,0.120909091,0.058636364,0.000454545,0.020909091,0.200454545,97,7.5
GrandTheftAutoIII,PS2,2001,Action,Take-Two Interactive,0.317727273,0.205,0.013636364,0.059090909,0.595454545,97,8.5
SuperMarioGalaxy,Wii,2007,Platform,Nintendo,0.37875,0.209375,0.075,0.04625,0.709375,97,8.9
SuperMarioGalaxy2,Wii,2010,Platform,Nintendo,0.273846154,0.180769231,0.075384615,0.047692308,0.577692308,97,9.1
GrandTheftAutoV,XOne,2014,Action,Take-Two Interactive,0.312222222,0.243333333,0,0.052222222,0.608888889,97,7.9
SuperMario64,N64,1996,Platform,Nintendo,0.255925926,0.105555556,0.070740741,0.008518519,0.44037037,97,
TheLegendofZelda,NES,1986,Action,Nintendo,0.101081081,0.025135135,0.045675676,0.003783784,0.175945946,97,
MetroidPrime,GC,2002,Shooter,Nintendo,0.093333333,0.031904762,0.004761905,0.004285714,0.134285714,97,9.3
Halo:CombatEvolved,XB,2001,Shooter,Microsoft Game Studios,0.226363636,0.059090909,0.003636364,0.003181818,0.292272727,97,8.6
NFL2K1,DC,2000,Sports,Sega,0.044347826,0.002173913,0,0.000869565,0.047391304,97,6
Uncharted2:AmongThieves,PS3,2009,Action,Sony Computer Entertainment,0.233571429,0.157142857,0.015,0.07,0.475714286,96,8.8
TheElderScrollsV:Skyrim,X360,2011,Role-Playing,Bethesda Softworks,0.420833333,0.2325,0.008333333,0.070833333,0.7325,96,8.4
Batman:ArkhamCity,PS3,2011,Action,Warner Bros. Interactive Entertainment,0.225833333,0.154166667,0.009166667,0.0675,0.456666667,96,8.6
MetalGearSolid2:SonsofLiberty,PS2,2001,Action,Konami Digital Entertainment,0.111363636,0.091363636,0.039545455,0.032727273,0.275,96,8.7
GranTurismo,PS,1997,Racing,Sony Computer Entertainment,0.154615385,0.148846154,0.097692308,0.02,0.421153846,96,8.7
Tekken3,PS,1998,Fighting,Sony Computer Entertainment,0.1308,0.0888,0.056,0.0116,0.2864,96,9.1
BioShock,X360,2007,Shooter,Take-Two Interactive,0.103125,0.053125,0.003125,0.0175,0.176875,96,8.9
MassEffect2,X360,2010,Role-Playing,Electronic Arts,0.153076923,0.062307692,0.002307692,0.020769231,0.238461538,96,8.9
ResidentEvil4,PS2,2005,Action,Capcom,0.115555556,0.046111111,0.025555556,0.013888889,0.201111111,96,8.9
TheOrangeBox,X360,2007,Shooter,Electronic Arts,0.068125,0.033125,0.00125,0.010625,0.11375,96,8.9
GoldenEye007,N64,1997,Shooter,Nintendo,0.223076923,0.077307692,0.005,0.005769231,0.311153846,96,
TheLegendofZelda:TheWindWaker,GC,2002,Action,Nintendo,0.123809524,0.047142857,0.042380952,0.006190476,0.219047619,96,8.9
SuperMarioWorld2:Yoshi'sIsland,SNES,1995,Platform,Nintendo,0.058928571,0.021785714,0.062857143,0.003214286,0.147142857,96,
GrandTheftAutoV,PC,2015,Action,Take-Two Interactive,0.04875,0.08625,0,0.01125,0.14625,96,7.9
ResidentEvil4,GC,2005,Action,Capcom,0.054444444,0.023333333,0.012222222,0.003333333,0.093888889,96,9.4
TheLegendofZelda:TwilightPrincess,GC,2006,Action,Nintendo,0.067647059,0.021176471,0.002352941,0.002352941,0.093529412,96,9.2
TheOrangeBox,PC,2007,Shooter,Electronic Arts,0,0.006875,0,0.001875,0.00875,96,9.3
BioShock,PC,2007,Shooter,Take-Two Interactive,0.000625,0.024375,0,0.00125,0.025625,96,8.5
Half-Life,PC,1997,Shooter,Vivendi Games,0.155,0,0.003461538,0,0.158461538,96,9.1
Half-Life2,PC,2004,Shooter,Vivendi Games,0.12,0.001052632,0.004210526,0,0.124736842,96,9.1
GrandTheftAuto:SanAndreas,PS2,2004,Action,Take-Two Interactive,0.496315789,0.021052632,0.021578947,0.556315789,1.095263158,95,9
GrandTheftAuto:ViceCity,PS2,2002,Action,Take-Two Interactive,0.40047619,0.261428571,0.022380952,0.084761905,0.769047619,95,8.7
GranTurismo3:A-Spec,PS2,2001,Racing,Sony Computer Entertainment,0.311363636,0.231363636,0.085,0.052727273,0.680909091,95,8.4
TonyHawk'sProSkater2,GBA,2001,Sports,Activision,0.038636364,0.014090909,0,0.000909091,0.053636364,95,7.5
RedDeadRedemption,PS3,2010,Action,Take-Two Interactive,0.214615385,0.194615385,0.013076923,0.076153846,0.499230769,95,8.8
TheLastofUs,PS3,2013,Action,Sony Computer Entertainment Europe,0.241,0.218,0.028,0.099,0.587,95,9.1
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,0.186666667,0.132,0.011333333,0.058,0.388,95,6.8
