Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score
SuperMarioWorld,SNES,1990,Platform,Nintendo,12.78,3.75,3.54,0.55,20.61,100,
TheLegendofZelda:OcarinaofTime,N64,1998,Action,Nintendo,4.1,1.89,1.45,0.16,7.6,99,
TonyHawk'sProSkater2,PS,2000,Sports,Activision,3.05,1.41,0.02,0.2,4.68,98,7.7
GrandTheftAutoIV,PS3,2008,Action,Take-Two Interactive,4.76,3.69,0.44,1.61,10.5,98,7.5
GrandTheftAutoIV,X360,2008,Action,Take-Two Interactive,6.76,3.07,0.14,1.03,11.01,98,7.9
WorldSoccerJikkyouWinningEleven3:WorldCupFrance'98,PS,1998,Sports,Konami Digital Entertainment,0,0,0.75,0.05,0.81,98,
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,0.34,0,0.34,98,8.8
GrandTheftAutoV,PS3,2013,Action,Take-Two Interactive,7.02,9.09,0.98,3.96,21.04,97,8.2
GrandTheftAutoV,PS4,2014,Action,Take-Two Interactive,3.96,6.31,0.38,1.97,12.61,97,8.3
GrandTheftAutoV,X360,2013,Action,Take-Two Interactive,9.66,5.14,0.06,1.41,16.27,97,8.1
TonyHawk'sProSkater3,PS2,2001,Sports,Activision,2.66,1.29,0.01,0.46,4.41,97,7.5
GrandTheftAutoIII,PS2,2001,Action,Take-Two Interactive,6.99,4.51,0.3,1.3,13.1,97,8.5
SuperMarioGalaxy,Wii,2007,Platform,Nintendo,6.06,3.35,1.2,0.74,11.35,97,8.9
SuperMarioGalaxy2,Wii,2010,Platform,Nintendo,3.56,2.35,0.98,0.62,7.51,97,9.1
GrandTheftAutoV,XOne,2014,Action,Take-Two Interactive,2.81,2.19,0,0.47,5.48,97,7.9
SuperMario64,N64,1996,Platform,Nintendo,6.91,2.85,1.91,0.23,11.89,97,
TheLegendofZelda,NES,1986,Action,Nintendo,3.74,0.93,1.69,0.14,6.51,97,
MetroidPrime,GC,2002,Shooter,Nintendo,1.96,0.67,0.1,0.09,2.82,97,9.3
Halo:CombatEvolved,XB,2001,Shooter,Microsoft Game Studios,4.98,1.3,0.08,0.07,6.43,97,8.6
NFL2K1,DC,2000,Sports,Sega,1.02,0.05,0,0.02,1.09,97,6
Uncharted2:AmongThieves,PS3,2009,Action,Sony Computer Entertainment,3.27,2.2,0.21,0.98,6.66,96,8.8
TheElderScrollsV:Skyrim,X360,2011,Role-Playing,Bethesda Softworks,5.05,2.79,0.1,0.85,8.79,96,8.4
Batman:ArkhamCity,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.71,1.85,0.11,0.81,5.48,96,8.6
MetalGearSolid2:SonsofLiberty,PS2,2001,Action,Konami Digital Entertainment,2.45,2.01,0.87,0.72,6.05,96,8.7
GranTurismo,PS,1997,Racing,Sony Computer Entertainment,4.02,3.87,2.54,0.52,10.95,96,8.7
Tekken3,PS,1998,Fighting,Sony Computer Entertainment,3.27,2.22,1.4,0.29,7.16,96,9.1
BioShock,X360,2007,Shooter,Take-Two Interactive,1.65,0.85,0.05,0.28,2.83,96,8.9
MassEffect2,X360,2010,Role-Playing,Electronic Arts,1.99,0.81,0.03,0.27,3.1,96,8.9
ResidentEvil4,PS2,2005,Action,Capcom,2.08,0.83,0.46,0.25,3.62,96,8.9
TheOrangeBox,X360,2007,Shooter,Electronic Arts,1.09,0.53,0.02,0.17,1.82,96,8.9
GoldenEye007,N64,1997,Shooter,Nintendo,5.8,2.01,0.13,0.15,8.09,96,
TheLegendofZelda:TheWindWaker,GC,2002,Action,Nintendo,2.6,0.99,0.89,0.13,4.6,96,8.9
SuperMarioWorld2:Yoshi'sIsland,SNES,1995,Platform,Nintendo,1.65,0.61,1.76,0.09,4.12,96,
GrandTheftAutoV,PC,2015,Action,Take-Two Interactive,0.39,0.69,0,0.09,1.17,96,7.9
