title	link	content
[게임, 현대미술이 되다…국립현대미술관 '게임사회'전]	https://n.news.naver.com/mnews/article/001/0013936292?sid=103	"[
MoMA·스미스소니언미술관 소장 게임 등 소개



(서울=연합뉴스) 황희경 기자 = 국립현대미술관 서울관에서 열린는 '게임사회'전 전시 모습. 2023.5.11. zitrone@yna.co.kr    (서울=연합뉴스) 황희경 기자 = 국립현대미술관 서울관 전시장이 거대한 게임장으로 변했다. 90년대 큰 인기를 끌었던 댄스댄스레볼루션(DDR) 게임기와 팩맨 아케이드 게임기 등 게임기가 전시장 곳곳에 자리 잡았다. 전시장에는 콘솔과 조이스틱을 이용해 PC 게임을 플레이해볼 수도 있고 총 모양 도구를 이용해 커다란 스크린에 나타난 적을 쏘아서 물리치기도 한다.     국립현대미술관 서울관에서 12일 시작되는 '게임사회'전은 놀이의 영역으로 치부되곤 하는 게임을 현대미술의 관점에서 바라보는 전시다.     이미 게임은 현대미술의 영역에 깊숙이 들어와 있다. 미국 뉴욕현대미술관(MoMA)은 2012년 게임을 정식 소장품으로 수집했고 게임의 형식을 빌린 미디어 아트 등도 쉽게 찾아볼 수 있다. MoMA가 게임을 소장할 당시에는 게임이 예술이냐 아니냐를 두고 논란도 있었지만 이번 전시를 기획한 홍이지 학예연구사는 ""이미 게임은 예술이라는 인식이 자리 잡았다""고 설명했다.    전시는 이런 상황에서 현대미술과 게임의 접점을 찾아보고 게임의 문법과 미학이 시각예술과 우리의 삶에 미치는 영향을 살펴보자는 취지로 기획됐다.



김희천 '커터3' 전시 모습(서울=연합뉴스) 황희경 기자 = 11일 국립현대미술관 서울관에서 열린 '게임사회'전 언론공개회에서 참석자들이 김희천 작가의 '커터3' 작품을 관람하는 모습. 2023.5.11. zitrone@yna.co.kr    전시장에는 게임의 문법과 기술을 이용한 현대미술 작품 30여점과 실제 게임 7점이 별다른 구분 없이 섞여서 전시된다. MoMA와 스미스소니언 미술관이 소장하고 있는 '플로우', '플라워', '헤일로 2600', '마인크래프트', '포털', '팩맨', '심시티 2000' 등 비디오 게임 7점과 국내 게임 2점은 여러 형태로 실제 관객이 전시장에서 플레이할 수 있다.    람한은 가상현실(VR) 게임의 형식을 차용한 영상 설치 작품을 내놨다. 관람객들은 의자에 누워 가상현실을 보여주는 헤드셋을 착용한 채 1인칭 시점 게임의 주인공이 된다. 관객이 따라가는 스토리는 쌍둥이 자매의 관계와 심리에 관한 것으로, 실제 쌍둥이인 작가의 자전적인 이야기를 담고 있다.    다이넬 브레이스웨이트 셜리는 흑인 트랜스젠더들의 이야기를 '포인트 앤 슛' 게임으로 풀어낸다. 관객은 총 모양의 도구를 들고 거대한 스크린 속에 나오는 대상을 마주하고 총을 쏠지, 쏘지 않을지를 결정해야 한다. 관객에게 자신의 선택과 행동(무행동)이 다른 이들에게 직접적으로 어떤 영향을 미치는지 묻는 작품이다.    올해 에르메스 재단 미술상을 받은 김희천은 국립현대미술관을 배경으로 하는 게임이 등장하는 영상 설치작 '커터3'를 소개한다. 국립현대미술관 서울관 직원이 주인공이 되는 이 작품은 빈백에 기대 감상할 수 있다. 감상자들의 모습은 주변에 설치된 카메라를 통해 수집돼 작품 속에 반영된다. 



누구나 편하게 즐길 수 있는 게임기(서울=연합뉴스) 진연수 기자 = 11일 서울 종로구 국립현대미술관에서 열린 '게임과 사회'를 주제로 한 기획전 '게임사회' 언론공개회에서 관계자가 장애·비장애인 누구나 편하게 사용 가능한 게임기기를 체험하고 있다. 비디오 게임의 역사, 문법과 동시대 예술과 사회에 미친 영향을 조망하는 이번 전시는 오는 9월 10일까지 개최된다. 2023.5.11 jin90@yna.co.kr    이번 전시에서는 장애인들의 전시 관람을 돕는 장치가 눈에 띈다. 실제 플레이할 수 있는 게임들에는 일반적인 게임패드 외에 조이스틱의 크기를 키우고 방향키 버튼 등의 위치를 바꿀 수 있는 게임 컨트롤러를 함께 배치했다.     또 높이를 낮춘 게임기도 추가로 설치해 휠체어 이용자나 어린이들이 쉽게 이용할 수 있도록 했다. 국내 게임으로는 '카트라이더 드리프트'와 함께 시각장애인 교사가 텍스트 기반으로 만든 인디 게임 '서울 2033'이 소개된다.     전시는 9월10일까지. 이 중 김희천 작가 작품은 8월13일까지 전시된다. 유료 관람. 



게임 그리고 가상현실(서울=연합뉴스) 진연수 기자 = 11일 서울 종로구 국립현대미술관에서 열린 '게임과 사회'를 주제로 한 기획전 '게임사회' 언론공개회에서 람한 작가가 작품 시연을 하고 있다. 비디오 게임의 역사, 문법과 동시대 예술과 사회에 미친 영향을 조망하는 이번 전시는 오는 9월 10일까지 개최된다. 2023.5.11 jin90@yna.co.kr    zitrone@yna.co.kr
]"
[액션스퀘어, 삼국블레이드 IP 활용 모바일 게임 中 서비스 임박]	https://n.news.naver.com/mnews/article/018/0005482818?sid=101	"[
			[이데일리 이용성 기자] 액션스퀘어(205500)는 자사 모바일 게임 삼국블레이드의 지식재산권(IP)을 활용하고, 넷이즈가 개발한 모바일게임 ‘삼국주장록’이 중국 출시를 앞두고 결제테스트를 진행한다고 11일 밝혔다. 결제 테스트는 오는 18일 진행될 예정이다. 



(사진=액션스퀘어)액션스퀘어는 중국 2위 게임사 넷이즈와 손을 잡고, 자사가 제공한 삼국블레이드의 IP를 활용한 모바일 게임을 개발했다. 액션스퀘어의 삼국블레이드는 국내 시장에서 300만 다운로드를 기록한 인기 모바일 게임으로 삼국지 스토리와 언리얼 기반의 호쾌한 액션이 결합된 액션 다중접속역할수행게임(RPG)이다. 액션스퀘어는 향후 중국 유저들에게 최적화된 콘텐츠로 중국 시장을 공략한다는 계획이다. 김연준 액션스퀘어 대표는 “오랫동안 사랑받아 왔던 스테디셀러 게임인 삼국블레이드의 IP를 활용한 삼국주장록을 중국 유저들에게 선보일 수 있게 돼 매우 기쁘다”며 “액션 게임 장르에 특화된 우수한 IP를 지속적으로 개발해 선보여 나갈 것”고 전했다.이 외에도 액션스퀘어는 향후 PC/콘솔 슈팅 액션 게임 ANVIL의 정식 출시를 앞두고 있으며 인기 IP를 활용한 ‘킹덤 : 왕가의 피’와 신작 출시를 준비하고 있다.
]"
[]	https://sports.news.naver.com/news.nhn?oid=439&aid=0000025894	[]
[위메이드, 마이크로소프트와 콘솔 게임 출시 협의]	https://n.news.naver.com/mnews/article/092/0002291410?sid=105	"[
위메이드 최초의 콘솔 플레이 지원 신작 출시 관련 협력 논의 중위메이드(대표 장현국)와 마이크로소프트가 콘솔 게임 출시를 포함해 다양한 협력 방안을 협의하고 있다.위메이드는 지난해 11월 마이크로소프트로부터 전략적 투자를 유치했다. 마이크로소프트가 2022년 투자한 아시아 게임 회사는 위메이드가 유일하다. 투자 후 6개월 간 양사는 다방면으로 파트너십 강화를 위한 논의를 하고 있다.위메이드의 자회사 디스민즈워에서 개발 중인 신작 ‘디스민즈워'(가칭)는 실제 지형을 반영한 국가 기반 시뮬레이션이 가능한 워버스(Warverse) 게임이다. 위메이드 최초로 PC, 모바일 뿐 아니라 콘솔도 지원하며, 마이크로소프트의 게임 플랫폼에서도 플레이할 수 있도록 협의 중이다.



위메이드 CI아울러 마이크로소프트는 비용 절감과 생산성 극대화를 이룰 수 있는 AI 분야에 적극적으로 나서고 있다. 특히, 클라우드 플랫폼 애저(Azure)는 AI 기술과 결합한 기계 학습을 통해 게임 개발자들의 효율적인 업무를 도와주며, 관련 기술이 점점 고도화되고 있다.현재 위메이드는 마이크로소프트의 애저를 활용해 170여개 국가에 글로벌 게임을 서비스하고 있다. 2021년 8월 출시한 ‘미르4 글로벌’의 흥행으로, 2022년 위메이드의 애저 클라우드 트래픽은 전년 대비 크게 증가했다. 올해 초 론칭한 ‘미르M 글로벌’도 순항하며 애저의 글로벌 트래픽 증가세가 지속되고 있다.특히 지난 달 27일 론칭한 대작 MMORPG ‘나이트 크로우' 역시 애저를 사용한다. ‘나이트 크로우'는 론칭 후 폭발적 인기를 모아 구글과 애플 양대 마켓에서 1위를 기록하고 매일 서버를 증설하는 등 2023년 최고 기대작다운 면모를 보이고 있다. ‘나이트 크로우’는 블록체인을 결합하여, 올 하반기 위믹스 플레이에서 글로벌 출시할 계획이다.
]"
[위메이드, 첫 콘솔 신작 출시 MS와 협의 중]	https://n.news.naver.com/mnews/article/003/0011845080?sid=105	"[
기사내용 요약위메이드 최초 콘솔 신작 MS 플랫폼 플레이 협의 중자사 게임에 MS 클라우드 플랫폼 '애저' 활용 적극



장현국 위메이드 대표 *재판매 및 DB 금지[서울=뉴시스]최은수 기자 = 위메이드는 마이크로소프트(MS)와 콘솔 게임 출시를 포함해 다양한 협력 방안을 협의하고 있다고 8일 밝혔다.위메이드는 지난해 11월 마이크로소프트로부터 전략적 투자를 유치했다. 마이크로소프트가 2022년 투자한 아시아 게임 회사는 위메이드가 유일하다. 투자 후 6개월 간 양사는 다방면으로 파트너십 강화를 위한 논의를 하고 있다.위메이드의 자회사 디스민즈워에서 개발 중인 신작 ‘디스민즈워'(가칭)는 실제 지형을 반영한 국가 기반 시뮬레이션이 가능한 워버스(Warverse) 게임이다. 위메이드 최초로 PC, 모바일 뿐 아니라 콘솔도 지원한다. 마이크로소프트의 게임 플랫폼에서도 플레이할 수 있도록 협의 중이다.마이크로소프트는 비용 절감과 생산성 극대화를 이룰 수 있는 AI 분야에 적극적으로 나서고 있다. 클라우드 플랫폼 애저(Azure)는 AI 기술과 결합한 기계 학습을 통해 게임 개발자들의 효율적인 업무를 도와주며, 관련 기술이 점점 고도화되고 있다.위메이드는 마이크로소프트의 애저를 활용해 170여개 국가에 글로벌 게임을 서비스하고 있다. 2021년 8월 출시한 ‘미르4 글로벌’의 흥행으로, 2022년 위메이드의 애저 클라우드 트래픽은 전년 대비 크게 증가했다. 올해 초 론칭한 ‘미르M 글로벌’도 순항하며 애저의 글로벌 트래픽 증가세가 지속되고 있다.지난달 27일 론칭한 대작 MMORPG ‘나이트 크로우' 역시 애저를 사용한다. ‘나이트 크로우'는 론칭 후 폭발적 인기를 모아 구글과 애플 양대 마켓에서 1위를 기록하고 매일 서버를 증설했다. 이 게임은 블록체인을 결합해 올 하반기 위믹스 플레이를 통해 글로벌 출시할 계획이다.위메이드 측은 ""양사는 시너지 효과를 창출할 수 있는 지속 가능한 협력 분야를 계속 늘려 갈 예정""이라고 밝혔다.
]"
[가입자 100만명 모은다더니… 통신 3사 계륵된 클라우드 게임]	https://n.news.naver.com/mnews/article/366/0000899987?sid=105	"[
LGU+, 엔비디아 ‘지포스나우’ 공급 중단KT게임박스, 오는 6월 30일 서비스 종료선방한다는 SKT도  이용자 목표치 ‘10분의 1’“기반인 ‘5G’ 품질 떨어져… 팔릴 리 만무”



LG유플러스가 엔비디아의 클라우드 게임 서비스 ‘지포스나우’의 공급을 중단한다./지포스나우코리아 홈페이지 캡처        통신 3사가 ‘5G(5세대 이동통신) 킬러 콘텐츠’로 내세웠던 클라우드 게임 사업에서 발을 빼고 있다. 각 사가 앞다퉈 사업 진출을 알린지 3~4년이 지났지만 여전히 진성 이용자 수를 10만명도 모으지 못한 탓이다. 클라우드 게임 산업 규모가 오는 2026년 110억파운드(약 18조원)에 달할 것이란 글로벌 시장 전망과 반대로 가는 모습이다. 업계에서는 당초 약속한 만큼 5G 서비스 품질을 개선하지 못한 데다, 국내 게임 시장을 제대로 파악하지 못한 채 사업에 뛰어들었기 때문에 실패를 면치 못했다는 분석이 나온다.9일 업계에 따르면 LG유플러스는 오는 7월 1일 또는 그 이전에 엔비디아의 클라우드 게임 서비스 ‘지포스나우’의 공급을 중단할 계획이다. LG유플러스는 2019년부터 엔비디아와 제휴를 맺고 지포스나우를 공급해왔다. 지포스나우의 게임을 모바일, PC, IPTV 등에서 이용할 수 있도록 제공하는 식이었다. LG유플러스는 지난해까지만 해도 월 9900원 가격의 멤버십을 선보이는 등 사업 확대에 나섰다.KT는 최근 클라우드 게임 사업을 일임했던 부서 ‘클라우드DX사업TF’에 디지털 트윈 신사업을 맡기면서 전략을 변경하는 모양새다. KT는 2020년 8월부터 ‘KT게임박스’를 서비스해왔다. 다만 KT게임박스는 오는 6월 30일까지 종료할 예정이다. 이를 위해 지난해 말 ‘컨트롤러팩’ ‘KB 나라사랑카드’ 등 신규 가입 상품 판매를 중단한 데 이어 올해 2월 신규 가입을 중단했다.그나마 클라우드 게임 사업 명맥을 이어가고 있는 건 SK텔레콤이다. SK텔레콤은 2020년 9월부터 마이크로소프트(MS)와 손잡고 엑스박스 게임을 클라우드로 제공 중이다. 콘솔 게임을 클라우드로 제공하는 건 SK텔레콤이 유일하다. 때문에 업계에서는 SK텔레콤이 제공하는 클라우드 게임이 다양한 반면 KT와 LG유플러스가 시장 장악력을 넓히기는 어려웠을 것이란 분석이 나온다.하지만 SK텔레콤도 이용자를 채 10만명도 확보하지 못한 것으로 파악됐다. 각 사 사업 현황에 정통한 업계 관계자는 “그나마도 현지에서 제공하지 않는 게임을 하기 위해 가입한 해외 열혈 이용자를 포함한 것”이라며 “서비스 출시 초기에 진행한 ‘월 100원 무제한 이용’ 프로모션 이후 뚜렷한 증감이 없었던 걸로 알고 있다. 실제로 서비스를 쓰는 이용자는 10만명보다 적을 것”이라고 전했다.SK텔레콤 관계자는 “구체적인 수치는 확인이 어렵지만, 3사 중 이용자 수가 가장 많은 건 사실이다”라고 했다. KT와 LG유플러스는 이용자 수를 공개하지 않고 있다. SK텔레콤과 KT는 각각 ‘2023년까지 가입자 100만명 확보’ ‘2022년까지 가입자 100만명 확보’를 목표로 세운 바 있다.



한국전자통신연구원(ETRI)이 지난해 6월 발표한 ‘최근 국내 이동통신서비스 이용행태 분석’ 보고서 중 일부 발췌. ETRI는 2021년 전국 20~59세 LTE·5G 스마트폰 이용자 2048명을 대상으로 설문조사를 실시한 결과, 5G를 이용하지 않으려는 가장 큰 이유로 'LTE와 속도 차이 없을 것 같아서(58%)'와 '요금이 비싸서(58%)'가 꼽혔다고 밝혔다. /ETRI        업계는 통신 3사의 실패 요인을 5G 품질 미흡으로 보고 있다. 통신사들은 5G가 LTE(4세대 이동통신)보다 속도가 빠르다고 주장하며 5G를 기반으로 한 클라우드 게임을 부가서비스로 출시, 상용화에 나섰다. 하지만 막상 이용자들이 체감하는 5G와 LTE의 품질 차이가 적어 이용자 수가 늘지 않았다는 것이다. 또다른 업계 관계자는 “클라우드 게임을 계기로 5G 모바일 가입자 수가 크게 늘었다면 LG유플러스가 사업을 철수하는 일은 없었을 것”이라고 했다.일각에서는 통신사들이 국내 시장 수요를 제대로 파악하지 못한 것이란 지적도 나온다. 업계 관계자는 “현존하는 클라우드 게임 대부분이 기존에 있던 PC, 콘솔 게임을 모바일로 구현한 것이다. 따라서 처음부터 모바일 환경을 염두에 두고 만든 게임과 비교했을 때 아무래도 조작성이 떨어진다”며 “국내 게이머들을 만족시키기가 어렵다는 뜻”이라고 설명했다. 그러면서 그는 “인기 있는 클라우드 게임이라면 ‘롤’ 정도인데, 롤은 방향키만 있으면 될 정도로 조작이 간편하다”고 덧붙였다.SK텔레콤은 MS와 계속해서 클라우드 게임 사업을 이어갈 방침이다. KT도 디지털 트윈 기술 등과 연계해 새로운 사업 모델을 발굴 중이라는 입장이다. KT 관계자는 “이전과 다른 유통 방식을 도입한 모바일 스트리밍 게임 서비스를 준비 중이다”라며 “현재 이름을 공개하기 어려운 파트너사와 NDA(비밀유지계약)를 맺고, 백그라운드에서 게임이 자동 플레이되도록 하는 등 부가기능을 넣은 서비스를 검토 중이다”라고 했다.
]"
[]	https://sports.news.naver.com/news.nhn?oid=382&aid=0001050141	[]
"[라이엇게임즈 ""2D 액션 게임 '시간/교차' 24일 출시""]"	https://n.news.naver.com/mnews/article/001/0013918797?sid=105	"[




'시간/교차'[라이엇게임즈 제공. 재판매 및 DB 금지](서울=연합뉴스) 김주환 기자 = 라이엇게임즈는 캐나다 게임사 '더블 스탈리온'이 개발한 2D 액션 플랫포머 게임 '시간/교차'를 오는 24일 출시한다고 3일 밝혔다.    '시간/교차'는 리그 오브 레전드(LoL)의 인기 캐릭터 '에코'를 조종해 LoL 세계관 속 거대한 지하 도시 '자운'을 탐험하는 액션 게임으로, PC와 콘솔(플레이스테이션·엑스박스·닌텐도 스위치) 플랫폼으로 출시될 예정이다.    라이엇게임즈는 이날 '시간/교차' 출시일과 함께 게임플레이 장면과 스토리가 담긴 신규 트레일러 영상을 공개했다.



'시간/교차' 플레이 화면[라이엇게임즈 제공. 재판매 및 DB 금지]    jujuk@yna.co.kr
]"
"[""택진이형 나와""…국내 게임사 해외서 진짜 형·동생 가린다]"	https://n.news.naver.com/mnews/article/277/0005255274?sid=105	"[




누군가 ‘택진이 형’을 외쳐 부르는 엔씨소프트 광고가 화제였던 시절이 있었다. 서울대 전자공학과 85학번인 엔씨소프트 창업자 김택진 대표는 이론의 여지가 없는 게임 업계의 큰형이었다. 한게임을 만든 김범수 카카오 의장, 김정주 넥슨 창업자가 서울대 86학번이다. 사실 나이는 그다지 중요하지 않았다. 리니지를 앞세운 엔씨는 가장 돈을 많이 버는 게임사였다. ‘돈 많으면 형’이란 말이 있다. 나이도 많고 돈도 많으니 다들 '택진이 형'과 엔씨를 업계의 큰형으로 인정했다.하지만 사정이 달라지기 시작했다. '3N'(넥슨·엔씨소프트·넷마블)이란 말이 나왔다. 넥슨이 엔씨를 추월했고, 넷마블이 엔씨 못지않게 돈을 벌어들였다. 누가 업계의 큰형인지 잘라 말하기 힘들어진 것이다. 그래도 한국 시장에서 오래 업력을 쌓아 온 엔씨가 큰 형 대우를 받았다. 하지만 경쟁 무대가 해외로 옮겨가며 서열 변화 조짐이 나타나기 시작했다. 이젠 업력이 10년 이상 차이 나는 업체들에게도 자리를 내줄 위기에 놓였다.



크래프톤 'PUBG: 배틀그라운드'‘SK2’ 영업이익, '3N' 뛰어넘어1994년 넥슨을 시작으로 1997년 엔씨소프트, 2000년 넷마블까지 이들은 국내 게임 시장의 토대를 다져왔다. 선두주자인 만큼 이들의 실적 또한 후발주자와는 비교가 되지 않을 정도로 크게 앞서갔다. 하지만 국내 시장이 성장 한계에 다다르며, 이들의 입지가 좁아지기 시작했다.지난해 3N은 ‘SK2'로 불리는 스마일게이트, 크래프톤, 카카오게임즈에 실적을 역전당했다. 크래프톤의 영업이익은 7516억원으로 국내 게임사 가운데 두 번째로 높았다. 넥슨이 영업이익 9952억원으로 3N 삼형제의 자존심을 지켰다. 하지만 스마일게이트가 6430억원을 벌어들이며 5590억원을 벌어들이는 데 그친 큰 형 엔씨는 3위로 밀려났다. 넷마블은 더 상황이 좋지 못하다. 지난해 영업적자를 기록하며 체면을 구겼다.후발주자의 성장세는 가파르다. 엔씨는 매출 1조원을 돌파하기까지 20년이라는 시간이 걸렸다. 반면, 크래프톤은 설립 11년만인 2018년 매출 1조원을 넘어섰다. 엔씨와 비교해 약 2배 빠른 시간이다. 카카오게임즈의 성장세는 더 매섭다. 2013년 설립된 카카오게임즈는 2021년 매출 1조원을 돌파했다.



엔씨소프트 '쓰론 앤 리버티'.해외에서 진짜 형·동생 가린다 게임업계 판도가 바뀐 이유는 경쟁이 전세계에서 벌어지고 있기 때문이다. 스마일게이트는 해외 매출 비중이 80%가 넘는다. 크래프톤은 94%에 달한다. 반면 엔씨소프트의 해외 매출 비중은 30%에 불과하다. 리니지 시리즈를 앞세워 국내에서는 압도적인 인지도를 자랑하는 엔씨지만, 해외에서는 예전 동생들이 돈을 더 벌고, 더 유명하다.특히 올해가 진짜 형, 동생을 가리는 기점이 될 것으로 보인다. 각 게임사가 주요 신작을 해외 시장에 잇따라 내놓기 때문이다. 국내보다 매출 규모가 훨씬 큰 해외에서 어떤 성과를 내는가로 업계 판도를 바꿀 수 있다.엔씨는 올해 선보이는 신작 ‘쓰론 앤 리버티(이하 TL)'의 성과에 모든 것을 걸었다. 김택진 대표가 직접 뛰어들어 만든 신작이다. 북미와 유럽 시장에서 인기가 높은 콘솔 기반의 게임이다. 이를 통해 본격적으로 세계에 엔씨의 이름을 알리겠다는 계획이다. TL은 다음달 한국 베타 테스트를 진행하며 마지막 담금질에 나선다.지난해 크게 체면을 구긴 넷마블은 올해 9종의 신작을 쏟아낸다. 최근 신작 '모두의마블2: 메타월드'를 전세계에 출시해 좋은 반응을 이어가고 있다. 하반기에는 ‘아스달 연대기’, ‘나 혼자만 레벨업:어라이즈’ 등 신작을 국내외에 선보인다.스마일게이트와 카카오게임즈도 올해 다양한 신작을 통해 3N을 압도하겠다는 목표를 세웠다. 스마일케이트는 ‘아우터플레인’, ‘원더러스’ 등 4종의 신작을 출시한다. 카카오게임즈는 ‘오딘:발할라 라이징’, ‘에버소울’ 등의 게임을 일본과 북미에 출시한다. 숨 고르기에 들어간 크래프톤은 내후년 '눈물을 마시는 새' 등 기대작을 선보인다.
]"
[[Oh!쎈 초점] '창립 10주년' 넥슨게임즈, 다음 행보는 글로벌 게임사②]	https://n.news.naver.com/mnews/article/109/0004845097?sid=105	"[




  넥슨게임즈 제공.[OSEN=고용준 기자] 10년의 역사 속에 설립 시점을 고려해 인원수가 늘어난 것만 30배다. 넥슨게임즈가 지난 6일 창립 10주년을 맞았다. 10년 전 2013년 5월 6일 박용현 대표이사가 설립 당시 약 40명의 개발자로 출발한 이후 모바일 게임 시장에서 공전의 히트를 기록한 액션 RPG ‘히트’를 필두로 ‘오버히트’, ‘V4’, ‘블루 아카이브’ 등 흥행작을 꾸준히 배출했다.그리고 지난 2022년 3월 31일 넥슨의 또다른 개발사인 넥슨지티와 합병해, 넥슨게임즈가 새로이 출범했다. 넥슨게임즈의 현재 인력은 약 1100명으로 넷게임즈 설립 시점의 약 30배며, 서비스 중이거나 개발 중인 게임 라인업은 9종에 달한다.▲ 라이브게임의 탄탄한 흥행, 재무안정성 확보넥슨게임즈 출범 후 최초로 선보이는 게임인 ‘히트2’는 전작 ‘히트’를 계승한 모바일·PC MMORPG로 출시 전부터 많은 관심을 모았다. ‘히트2’는 출시 하루 만에 애플 앱스토어 최고 매출 1위를 기록했으며, 이후 구글 플레이에서도 최고 매출 1위를 기록했다. 또한 이용자가 직접 서버 룰을 정하는 ‘조율자의 제단’, 이용자들이 직접 후원 대상 크리에이터를 지정하는 ‘넥슨 크리에이터즈’ 등 전에 없던 독창적인 시스템을 선보이기도 했다.올해 3월 중국에서 판호를 발급받은 ‘블루 아카이브’도 넥슨게임즈 출범 이후 주목할만한 성과를 보여주었다. 탄탄한 스토리 및 매력적인 캐릭터를 기반으로 한일 양국에서 꾸준히 팬덤을 확장해온 ‘블루 아카이브’는 작년 7월 일본 앱스토어와 구글 플레이에서 각각 최고 매출 2위와 3위를 기록했다. 올해는 이 같은 흥행세가 더욱 강해져, 일본 서비스 2주년 맞이 업데이트 이후 일본에서는 최초로 양대 마켓 최고 매출 1위를 기록했으며, 이어 한국 애플 앱스토에서도 최고 매출 1위를 기록했다.‘블루 아카이브’는 게임 외적으로도 OST 및 코믹북을 발매하고, 게임 IP를 활용한 다채로운 굿즈를 선보이는 등 IP 확장면에서도 유의미한 결실을 일궈냈다. 지난해 10월 5일 일본에서 발매한 공식 아트북은 출간 직후 일본 아마존 도서부분 베스트셀러 1위를 차지하고, 초판이 매진되는 등 남다른 흥행을 기록했다. 올해 1월 25일에는 TV 애니메이션 제작 소식을 발표하며, IP 확장을 위한 광폭 행보에 나서기도 했다.2022년 넥슨게임즈의 성장을 견인한 ‘히트2’와 ‘블루 아카이브’는 11월 ‘대한민국 게임대상’에서 나란히 수상하며, ‘히트’, ‘V4’의 명성을 이어갔다. ‘히트2’는 대한민국 게임대상 본상에서 우수상을 수상했으며, ‘블루 아카이브’는 인기게임상, 기술·창작상 캐릭터 부문, 우수개발자상(김용하 총괄 PD)의 3개 부문에서 수상의 영예를 안았다.넥슨게임즈는 출범 첫해에 흑자전환에 성공하며 재무적으로도 안정성을 확보했다. 넥슨게임즈는 2022년 전년 동기 대비 110% 성장한 1,324억 원의 연결매출을 기록했고, 영업이익은 52억 원으로 흑자전환했다. 실적 개선은 ‘히트2’의 성공적인 출시, ‘블루 아카이브’ 등 라이브 게임의 호조세와 더불어 넥슨지티와의 합병으로 ‘서든어택’의 실적이 더해진 덕분이다.



  넥슨게임즈 제공.▲ 서비스 권역 확대와 3종의 신작, 성장 모멘텀 강화넥슨게임즈는 2023년 기존 출시작의 서비스 권역 확대와 글로벌 시장을 타겟팅하고 있는 3종의 신작으로 성장 동력을 강화할 예정이다. 글로벌 시장 공략의 선봉장은 ‘히트2’와 ‘블루 아카이브’가 맡는다.먼저 ‘히트2’는 지난 4월 18일 대만, 홍콩, 마카오에서 사전예약을 시작했으며, 5월 23일 해당 권역에 정식 출시할 예정이다. 특히 대만의 경우 한국 MMORPG가 여전히 높은 인기를 모으고 있고, 원작인 ‘히트’ 또한 매출 순위 TOP 5 수준의 흥행을 기록한 바 있어 ‘히트2’의 흥행에 관심이 모이고 있다.‘블루 아카이브’는 지난 3월 16일 중국 당국으로부터 판호를 발급받은 데 이어, 3월 31일부터 사전 예약에 착수했다. 사전예약 개시 하루만에 30만 명 이상의 예약자가 몰렸으며, 사전 예약과 함께 공개한 첫번째 프로모션 영상은 약 400만에 달하는 조회수를 기록하고 있다.넥슨게임즈는 루트슈터 게임 ‘퍼스트 디센던트’, PC 슈팅 게임 ‘베일드 엑스퍼트’, 모바일 MMORTS 게임 ‘갓썸: 클래시 오브 갓’ 등 해외 시장을 겨냥한 다양한 장르의 신규 IP를 개발 중이다. 각각 루트슈터, 슈팅, 실시간 전략 시뮬레이션 등 서구권을 포함한 글로벌 시장에서 탄탄한 팬덤을 확보하고 있는 장르로 넥슨게임즈의 해외 시장 공략에 핵심적인 역할을 수행할 예정이다.‘베일드 엑스퍼트’는 시시각각 변하는 전투 환경에서 개성 있는 요원들을 조합해 싸우는 PC 슈팅 게임이다. 최근 파이널 테스트를 성공적으로 마치고, 5월 중 얼리 액세스 형태로 글로벌 시장에 출시한다. ‘베일드 엑스퍼트’는 스팀 및 넥슨닷컴을 통해 서비스되며, 두 플랫폼 간 크로스 플레이가 지원된다.‘퍼스트 디센던트’는 3인칭 슈팅 전투와 RPG가 결합된 멀티 플랫폼(PC, 콘솔) 루트슈터(Looter Shooter) 장르 신작이다. 언리얼 엔진5로 구현한 고퀄리티 비주얼, 스펙터클한 4인 코옵(CO-OP) 슈팅 액션을 특징으로 한다. 현재는 전 세계 이용자의 피드백을 바탕으로 게임의 완성도를 높이는 데 집중하고 있으며 올해 중 출시 예정이다.모바일 MMORTS 게임 ‘갓썸: 클래시 오브 갓’은 대규모 영토 전쟁이 핵심으로 다수의 플레이어가 광활한 전장에 동시에 접속해 상호작용하는 MMO의 특징과, 실시간 전략 기반의 시뮬레이션 요소가 결합된 게임이다. 올해 중으로 국내를 비롯한 글로벌 시장에 선보일 예정이다.또한 넥슨게임즈는 넥슨 컴퍼니의 대표 IP인 ‘던전앤파이터’, ‘듀랑고’ IP를 활용한 오픈월드 액션 RPG ‘프로젝트 DW’, MMORPG ‘프로젝트 DX’도 개발 중이다.넥슨게임즈 박용현 대표는 “창립 10주년을 맞은 올해는 기존 출시작의 서비스 권역을 확대하고 다수 신작을 선보이는 중요한 해”라며 “내실을 보다 다져 게임의 완성도를 높이고 글로벌 시장에서도 유의미한 성과를 거둘 수 있도록 최선을 다할 것”이라고 말했다.10년 전 모바일 게임 ‘히트’를 개발하던 중소형 개발사였던 넥슨게임즈는 현재 약 1100명의 인력이 모바일, PC, 콘솔을 아우르는 9종의 라인업을 보유한 대형 개발사로 성장했다. 합병 이후 다채로운 신작과 해외시장 공략을 통해 글로벌 게임사로 도약하려는 넥슨게임즈의 이후 행보를 기대한다. / scrapper@osen.co.kr 
]"
