Name,Platform,Year,Genre,Publisher,NA_,EU_,JP_,Other_,Global_,C_Score,U_Score,Rating
SuperMarioWorld,SNES,1990,Platform,Nintendo,38.73,11.36,10.73,1.67,62.45,100,,
TheLegendofZelda:OcarinaofTime,N64,1998,Action,Nintendo,16.4,7.56,5.8,0.64,30.4,99,,
GrandTheftAutoIV,X360,2008,Action,Take-Two Interactive,45.07,20.47,0.93,6.87,73.4,98,7.9,M
GrandTheftAutoIV,PS3,2008,Action,Take-Two Interactive,31.73,24.6,2.93,10.73,70,98,7.5,M
TonyHawk'sProSkater2,PS,2000,Sports,Activision,13.26,6.13,0.09,0.87,20.35,98,7.7,T
WorldSoccerJikkyouWinningEleven3:WorldCupFrance'98,PS,1998,Sports,Konami Digital Entertainment,0,0,3,0.2,3.24,98,,
SoulCalibur,DC,1999,Fighting,Namco Bandai Games,0,0,1.42,0,1.42,98,8.8,T
GrandTheftAutoV,PS3,2013,Action,Take-Two Interactive,70.2,90.9,9.8,39.6,210.4,97,8.2,M
GrandTheftAutoV,X360,2013,Action,Take-Two Interactive,96.6,51.4,0.6,14.1,162.7,97,8.1,M
GrandTheftAutoV,PS4,2014,Action,Take-Two Interactive,44,70.11,4.22,21.89,140.11,97,8.3,M
SuperMarioGalaxy,Wii,2007,Platform,Nintendo,37.88,20.94,7.5,4.63,70.94,97,8.9,E
GrandTheftAutoV,XOne,2014,Action,Take-Two Interactive,31.22,24.33,0,5.22,60.89,97,7.9,M
GrandTheftAutoIII,PS2,2001,Action,Take-Two Interactive,31.77,20.5,1.36,5.91,59.55,97,8.5,M
SuperMarioGalaxy2,Wii,2010,Platform,Nintendo,27.38,18.08,7.54,4.77,57.77,97,9.1,E
SuperMario64,N64,1996,Platform,Nintendo,25.59,10.56,7.07,0.85,44.04,97,,
Halo:CombatEvolved,XB,2001,Shooter,Microsoft Game Studios,22.64,5.91,0.36,0.32,29.23,97,8.6,M
TonyHawk'sProSkater3,PS2,2001,Sports,Activision,12.09,5.86,0.05,2.09,20.05,97,7.5,T
TheLegendofZelda,NES,1986,Action,Nintendo,10.11,2.51,4.57,0.38,17.59,97,,
MetroidPrime,GC,2002,Shooter,Nintendo,9.33,3.19,0.48,0.43,13.43,97,9.3,T
NFL2K1,DC,2000,Sports,Sega,4.43,0.22,0,0.09,4.74,97,6,E
TheElderScrollsV:Skyrim,X360,2011,Role-Playing,Bethesda Softworks,42.08,23.25,0.83,7.08,73.25,96,8.4,M
Uncharted2:AmongThieves,PS3,2009,Action,Sony Computer Entertainment,23.36,15.71,1.5,7,47.57,96,8.8,T
Batman:ArkhamCity,PS3,2011,Action,Warner Bros. Interactive Entertainment,22.58,15.42,0.92,6.75,45.67,96,8.6,T
GranTurismo,PS,1997,Racing,Sony Computer Entertainment,15.46,14.88,9.77,2,42.12,96,8.7,E
GoldenEye007,N64,1997,Shooter,Nintendo,22.31,7.73,0.5,0.58,31.12,96,,
Tekken3,PS,1998,Fighting,Sony Computer Entertainment,13.08,8.88,5.6,1.16,28.64,96,9.1,T
MetalGearSolid2:SonsofLiberty,PS2,2001,Action,Konami Digital Entertainment,11.14,9.14,3.95,3.27,27.5,96,8.7,M
MassEffect2,X360,2010,Role-Playing,Electronic Arts,15.31,6.23,0.23,2.08,23.85,96,8.9,M
TheLegendofZelda:TheWindWaker,GC,2002,Action,Nintendo,12.38,4.71,4.24,0.62,21.9,96,8.9,E
ResidentEvil4,PS2,2005,Action,Capcom,11.56,4.61,2.56,1.39,20.11,96,8.9,M
BioShock,X360,2007,Shooter,Take-Two Interactive,10.31,5.31,0.31,1.75,17.69,96,8.9,M
Half-Life,PC,1997,Shooter,Vivendi Games,15.5,0,0.35,0,15.85,96,9.1,M
SuperMarioWorld2:Yoshi'sIsland,SNES,1995,Platform,Nintendo,5.89,2.18,6.29,0.32,14.71,96,,
GrandTheftAutoV,PC,2015,Action,Take-Two Interactive,4.88,8.63,0,1.13,14.63,96,7.9,M
Half-Life2,PC,2004,Shooter,Vivendi Games,12,0.11,0.42,0,12.47,96,9.1,M
TheOrangeBox,X360,2007,Shooter,Electronic Arts,6.81,3.31,0.13,1.06,11.38,96,8.9,M
ResidentEvil4,GC,2005,Action,Capcom,5.44,2.33,1.22,0.33,9.39,96,9.4,M
TheLegendofZelda:TwilightPrincess,GC,2006,Action,Nintendo,6.76,2.12,0.24,0.24,9.35,96,9.2,T
BioShock,PC,2007,Shooter,Take-Two Interactive,0.06,2.44,0,0.13,2.56,96,8.5,M
TheOrangeBox,PC,2007,Shooter,Electronic Arts,0,0.69,0,0.19,0.88,96,9.3,M
GrandTheftAuto:SanAndreas,PS2,2004,Action,Take-Two Interactive,49.63,2.11,2.16,55.63,109.53,95,9,M
PokemonGold/PokemonSilver,GB,1999,Role-Playing,Nintendo,37.5,25.75,30,2.96,96.25,95,,
GrandTheftAuto:ViceCity,PS2,2002,Action,Take-Two Interactive,40.05,26.14,2.24,8.48,76.9,95,8.7,M
GranTurismo3:A-Spec,PS2,2001,Racing,Sony Computer Entertainment,31.14,23.14,8.5,5.27,68.09,95,8.4,E
TheLastofUs,PS3,2013,Action,Sony Computer Entertainment Europe,24.1,21.8,2.8,9.9,58.7,95,9.1,M
PokemonFireRed/PokemonLeafGreen,GBA,2004,Role-Playing,Nintendo,22.84,13.95,16.58,1.84,55.21,95,,
TheLastofUs,PS4,2014,Action,Sony Computer Entertainment,20.89,22.22,0.78,8.56,52.33,95,,
RedDeadRedemption,PS3,2010,Action,Take-Two Interactive,21.46,19.46,1.31,7.62,49.92,95,8.8,M
RedDeadRedemption,X360,2010,Action,Take-Two Interactive,28.46,15,0.69,4.46,48.62,95,9,M
Halo2,XB,2004,Shooter,Microsoft Game Studios,35.89,8.05,0.26,0.42,44.68,95,8.2,M
TheLegendofZelda:TwilightPrincess,Wii,2006,Action,Nintendo,22,12.59,3.53,4,42.06,95,9,T
LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,18.67,13.2,1.13,5.8,38.8,95,6.8,E
DonkeyKongCountry,SNES,1994,Platform,Nintendo,15.03,5.9,10.34,0.79,32.07,95,,
SuperMarioBros.3,GBA,2003,Platform,Nintendo,14.65,6.25,4.15,1,26,95,,
MaddenNFL2003,PS2,2002,Sports,Electronic Arts,16,1,0.05,2.67,19.71,95,7.7,E
Portal2,X360,2011,Shooter,Valve Software,11.75,4.08,0.08,1.42,17.33,95,8.5,E10+
TheLegendofZelda:ALinktothePast,SNES,1991,Action,Nintendo,7.56,2.84,3.59,0.41,14.41,95,,
Portal2,PS3,2011,Shooter,Valve,6.92,5,0.17,2,14.17,95,8.4,E10+
TheLegendofZelda:ALinktothePast,GBA,2002,Action,Nintendo,8.33,2.48,1.57,0.48,12.86,95,9.1,E
